60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
100,15,270
100,20,270
100,25,270
100,30,270
120,10,270
120,15,270
120,20,270
120,25,270
120,30,270
40,10,300
40,15,300
40,20,300
40,25,300
40,30,300
60,10,300
60,15,300
60,20,300
60,25,300
60,30,300
80,10,300
80,15,300
80,20,300
80,25,300
80,30,300
100,10,300
100,15,300
100,20,300
100,25,300
100,30,300
120,10,300
120,15,300
120,20,300
120,25,300
120,30,300
40,10,330
40,15,330
40,20,330
40,25,330
40,30,330
60,10,330
60,15,330
60,20,330
60,25,330
60,30,330
80,10,330
80,15,330
80,20,330
80,25,330
80,30,330
100,10,330
100,15,330
100,20,330
100,25,330
100,30,330
120,10,330
120,15,330
120,20,330
120,25,330
120,30,330
40,10,360
40,15,360
40,20,360
40,25,360
40,30,360
60,10,360
60,15,360
60,20,360
60,25,360
60,30,360
80,10,360
80,15,360
80,20,360
80,25,360
80,30,360
100,10,360
100,15,360
100,20,360
100,25,360
100,30,360
120,10,360
120,15,360
120,20,360
120,25,360
120,30,360
40,10,390
40,15,390
40,20,390
40,25,390
40,30,390
60,10,390
60,15,390
60,20,390
60,25,390
60,30,390
80,10,390
80,15,390
80,20,390
80,25,390
80,30,390
100,10,390
100,15,390
100,20,390
100,25,390
100,30,390
120,10,390
120,15,390
120,20,390
120,25,390
120,30,390
40,10,420
40,15,420
40,20,420
40,25,420
40,30,420
60,10,420
60,15,420
60,20,420
60,25,420
60,30,420
80,10,420
80,15,420
80,20,420
80,25,420
80,30,420
100,10,420
100,15,420
100,20,420
100,25,420
100,30,420
120,10,420
120,15,420
120,20,420
120,25,420
120,30,420
40,10,450
40,15,450
40,20,450
40,25,450
40,30,450
60,10,450
60,15,450
60,20,450
60,25,450
60,30,450
80,10,450
80,15,450
80,20,450
80,25,450
80,30,450
100,10,450
100,15,450
100,20,450
100,25,450
100,30,450
120,10,450
120,15,450
120,20,450
120,25,450
120,30,450
40,10,480
40,15,480
40,20,480
40,25,480
40,30,480
60,10,480
60,15,480
60,20,480
60,25,480
60,30,480
80,10,480
80,15,480
80,20,480
80,25,480
80,30,480
100,10,480
100,15,480
100,20,480
100,25,480
100,30,480
120,10,480
120,15,480
120,20,480
120,25,480
120,30,480
40,10,500
40,15,500
40,20,500
40,25,500
40,30,500
60,10,500
60,15,500
60,20,500
60,25,500
60,30,500
80,10,500
80,15,500
80,20,500
80,25,500
80,30,500
100,10,500
100,15,500
100,20,500
100,25,500
100,30,500
120,10,500
120,15,500
120,20,500
120,25,500
120,30,500
40,10,150
40,15,150
40,20,150
40,25,150
40,30,150
60,10,150
60,15,150
60,20,150
60,25,150
60,30,150
80,10,150
80,15,150
80,20,150
80,25,150
80,30,150
100,10,150
100,15,150
100,20,150
100,25,150
100,30,150
120,10,150
120,15,150
120,20,150
120,25,150
120,30,150
40,10,180
40,15,180
40,20,180
40,25,180
40,30,180
60,10,180
60,15,180
60,20,180
60,25,180
60,30,180
80,10,180
80,15,180
80,20,180
80,25,180
80,30,180
100,10,180
100,15,180
100,20,180
100,25,180
100,30,180
120,10,180
120,15,180
120,20,180
120,25,180
120,30,180
40,10,210
40,15,210
40,20,210
40,25,210
40,30,210
60,10,210
60,15,210
60,20,210
60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
100,15,270
100,20,270
100,25,270
100,30,270
120,10,270
120,15,270
120,20,270
120,25,270
120,30,270
40,10,300
40,15,300
40,20,300
40,25,300
40,30,300
60,10,300
60,15,300
60,20,300
60,25,300
60,30,300
80,10,300
80,15,300
80,20,300
80,25,300
80,30,300
100,10,300
100,15,300
100,20,300
100,25,300
100,30,300
120,10,300
120,15,300
120,20,300
120,25,300
120,30,300
40,10,330
40,15,330
40,20,330
40,25,330
40,30,330
60,10,330
60,15,330
60,20,330
60,25,330
60,30,330
80,10,330
80,15,330
80,20,330
80,25,330
80,30,330
100,10,330
100,15,330
100,20,330
100,25,330
100,30,330
120,10,330
120,15,330
120,20,330
120,25,330
120,30,330
40,10,360
40,15,360
40,20,360
40,25,360
40,30,360
60,10,360
60,15,360
60,20,360
60,25,360
60,30,360
80,10,360
80,15,360
80,20,360
80,25,360
80,30,360
100,10,360
100,15,360
100,20,360
100,25,360
100,30,360
120,10,360
120,15,360
120,20,360
120,25,360
120,30,360
40,10,390
40,15,390
40,20,390
40,25,390
40,30,390
60,10,390
60,15,390
60,20,390
60,25,390
60,30,390
80,10,390
80,15,390
80,20,390
80,25,390
80,30,390
100,10,390
100,15,390
100,20,390
100,25,390
100,30,390
120,10,390
120,15,390
120,20,390
120,25,390
120,30,390
40,10,420
40,15,420
40,20,420
40,25,420
40,30,420
60,10,420
60,15,420
60,20,420
60,25,420
60,30,420
80,10,420
80,15,420
80,20,420
80,25,420
80,30,420
100,10,420
100,15,420
100,20,420
100,25,420
100,30,420
120,10,420
120,15,420
120,20,420
120,25,420
120,30,420
40,10,450
40,15,450
40,20,450
40,25,450
40,30,450
60,10,450
60,15,450
60,20,450
60,25,450
60,30,450
80,10,450
80,15,450
80,20,450
80,25,450
80,30,450
100,10,450
100,15,450
100,20,450
100,25,450
100,30,450
120,10,450
120,15,450
120,20,450
120,25,450
120,30,450
40,10,480
40,15,480
40,20,480
40,25,480
40,30,480
60,10,480
60,15,480
60,20,480
60,25,480
60,30,480
80,10,480
80,15,480
80,20,480
80,25,480
80,30,480
100,10,480
100,15,480
100,20,480
100,25,480
100,30,480
120,10,480
120,15,480
120,20,480
120,25,480
120,30,480
40,10,500
40,15,500
40,20,500
40,25,500
40,30,500
60,10,500
60,15,500
60,20,500
60,25,500
60,30,500
80,10,500
80,15,500
80,20,500
80,25,500
80,30,500
100,10,500
100,15,500
100,20,500
100,25,500
100,30,500
120,10,500
120,15,500
120,20,500
120,25,500
120,30,500
40,10,150
40,15,150
40,20,150
40,25,150
40,30,150
60,10,150
60,15,150
60,20,150
60,25,150
60,30,150
80,10,150
80,15,150
80,20,150
80,25,150
80,30,150
100,10,150
100,15,150
100,20,150
100,25,150
100,30,150
120,10,150
120,15,150
120,20,150
120,25,150
120,30,150
40,10,180
40,15,180
40,20,180
40,25,180
40,30,180
60,10,180
60,15,180
60,20,180
60,25,180
60,30,180
80,10,180
80,15,180
80,20,180
80,25,180
80,30,180
100,10,180
100,15,180
100,20,180
100,25,180
100,30,180
120,10,180
120,15,180
120,20,180
120,25,180
120,30,180
40,10,210
40,15,210
40,20,210
40,25,210
40,30,210
60,10,210
60,15,210
60,20,210
60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
100,15,270
100,20,270
100,25,270
100,30,270
120,10,270
120,15,270
120,20,270
120,25,270
120,30,270
40,10,300
40,15,300
40,20,300
40,25,300
40,30,300
60,10,300
60,15,300
60,20,300
60,25,300
60,30,300
80,10,300
80,15,300
80,20,300
80,25,300
80,30,300
100,10,300
100,15,300
100,20,300
100,25,300
100,30,300
120,10,300
120,15,300
120,20,300
120,25,300
120,30,300
40,10,330
40,15,330
40,20,330
40,25,330
40,30,330
60,10,330
60,15,330
60,20,330
60,25,330
60,30,330
80,10,330
80,15,330
80,20,330
80,25,330
80,30,330
100,10,330
100,15,330
100,20,330
100,25,330
100,30,330
120,10,330
120,15,330
120,20,330
120,25,330
120,30,330
40,10,360
40,15,360
40,20,360
40,25,360
40,30,360
60,10,360
60,15,360
60,20,360
60,25,360
60,30,360
80,10,360
80,15,360
80,20,360
80,25,360
80,30,360
100,10,360
100,15,360
100,20,360
100,25,360
100,30,360
120,10,360
120,15,360
120,20,360
120,25,360
120,30,360
40,10,390
40,15,390
40,20,390
40,25,390
40,30,390
60,10,390
60,15,390
60,20,390
60,25,390
60,30,390
80,10,390
80,15,390
80,20,390
80,25,390
80,30,390
100,10,390
100,15,390
100,20,390
100,25,390
100,30,390
120,10,390
120,15,390
120,20,390
120,25,390
120,30,390
40,10,420
40,15,420
40,20,420
40,25,420
40,30,420
60,10,420
60,15,420
60,20,420
60,25,420
60,30,420
80,10,420
80,15,420
80,20,420
80,25,420
80,30,420
100,10,420
100,15,420
100,20,420
100,25,420
100,30,420
120,10,420
120,15,420
120,20,420
120,25,420
120,30,420
40,10,450
40,15,450
40,20,450
40,25,450
40,30,450
60,10,450
60,15,450
60,20,450
60,25,450
60,30,450
80,10,450
80,15,450
80,20,450
80,25,450
80,30,450
100,10,450
100,15,450
100,20,450
100,25,450
100,30,450
120,10,450
120,15,450
120,20,450
120,25,450
120,30,450
40,10,480
40,15,480
40,20,480
40,25,480
40,30,480
60,10,480
60,15,480
60,20,480
60,25,480
60,30,480
80,10,480
80,15,480
80,20,480
80,25,480
80,30,480
100,10,480
100,15,480
100,20,480
100,25,480
100,30,480
120,10,480
120,15,480
120,20,480
120,25,480
120,30,480
40,10,500
40,15,500
40,20,500
40,25,500
40,30,500
60,10,500
60,15,500
60,20,500
60,25,500
60,30,500
80,10,500
80,15,500
80,20,500
80,25,500
80,30,500
100,10,500
100,15,500
100,20,500
100,25,500
100,30,500
120,10,500
120,15,500
120,20,500
120,25,500
120,30,500
40,10,150
40,15,150
40,20,150
40,25,150
40,30,150
60,10,150
60,15,150
60,20,150
60,25,150
60,30,150
80,10,150
80,15,150
80,20,150
80,25,150
80,30,150
100,10,150
100,15,150
100,20,150
100,25,150
100,30,150
120,10,150
120,15,150
120,20,150
120,25,150
120,30,150
40,10,180
40,15,180
40,20,180
40,25,180
40,30,180
60,10,180
60,15,180
60,20,180
60,25,180
60,30,180
80,10,180
80,15,180
80,20,180
80,25,180
80,30,180
100,10,180
100,15,180
100,20,180
100,25,180
100,30,180
120,10,180
120,15,180
120,20,180
120,25,180
120,30,180
40,10,210
40,15,210
40,20,210
40,25,210
40,30,210
60,10,210
60,15,210
60,20,210
60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
100,15,270
100,20,270
100,25,270
100,30,270
120,10,270
120,15,270
120,20,270
120,25,270
120,30,270
40,10,300
40,15,300
40,20,300
40,25,300
40,30,300
60,10,300
60,15,300
60,20,300
60,25,300
60,30,300
80,10,300
80,15,300
80,20,300
80,25,300
80,30,300
100,10,300
100,15,300
100,20,300
100,25,300
100,30,300
120,10,300
120,15,300
120,20,300
120,25,300
120,30,300
40,10,330
40,15,330
40,20,330
40,25,330
40,30,330
60,10,330
60,15,330
60,20,330
60,25,330
60,30,330
80,10,330
80,15,330
80,20,330
80,25,330
80,30,330
100,10,330
100,15,330
100,20,330
100,25,330
100,30,330
120,10,330
120,15,330
120,20,330
120,25,330
120,30,330
40,10,360
40,15,360
40,20,360
40,25,360
40,30,360
60,10,360
60,15,360
60,20,360
60,25,360
60,30,360
80,10,360
80,15,360
80,20,360
80,25,360
80,30,360
100,10,360
100,15,360
100,20,360
100,25,360
100,30,360
120,10,360
120,15,360
120,20,360
120,25,360
120,30,360
40,10,390
40,15,390
40,20,390
40,25,390
40,30,390
60,10,390
60,15,390
60,20,390
60,25,390
60,30,390
80,10,390
80,15,390
80,20,390
80,25,390
80,30,390
100,10,390
100,15,390
100,20,390
100,25,390
100,30,390
120,10,390
120,15,390
120,20,390
120,25,390
120,30,390
40,10,420
40,15,420
40,20,420
40,25,420
40,30,420
60,10,420
60,15,420
60,20,420
60,25,420
60,30,420
80,10,420
80,15,420
80,20,420
80,25,420
80,30,420
100,10,420
100,15,420
100,20,420
100,25,420
100,30,420
120,10,420
120,15,420
120,20,420
120,25,420
120,30,420
40,10,450
40,15,450
40,20,450
40,25,450
40,30,450
60,10,450
60,15,450
60,20,450
60,25,450
60,30,450
80,10,450
80,15,450
80,20,450
80,25,450
80,30,450
100,10,450
100,15,450
100,20,450
100,25,450
100,30,450
120,10,450
120,15,450
120,20,450
120,25,450
120,30,450
40,10,480
40,15,480
40,20,480
40,25,480
40,30,480
60,10,480
60,15,480
60,20,480
60,25,480
60,30,480
80,10,480
80,15,480
80,20,480
80,25,480
80,30,480
100,10,480
100,15,480
100,20,480
100,25,480
100,30,480
120,10,480
120,15,480
120,20,480
120,25,480
120,30,480
40,10,500
40,15,500
40,20,500
40,25,500
40,30,500
60,10,500
60,15,500
60,20,500
60,25,500
60,30,500
80,10,500
80,15,500
80,20,500
80,25,500
80,30,500
100,10,500
100,15,500
100,20,500
100,25,500
100,30,500
120,10,500
120,15,500
120,20,500
120,25,500
120,30,500
40,10,150
40,15,150
40,20,150
40,25,150
40,30,150
60,10,150
60,15,150
60,20,150
60,25,150
60,30,150
80,10,150
80,15,150
80,20,150
80,25,150
80,30,150
100,10,150
100,15,150
100,20,150
100,25,150
100,30,150
120,10,150
120,15,150
120,20,150
120,25,150
120,30,150
40,10,180
40,15,180
40,20,180
40,25,180
40,30,180
60,10,180
60,15,180
60,20,180
60,25,180
60,30,180
80,10,180
80,15,180
80,20,180
80,25,180
80,30,180
100,10,180
100,15,180
100,20,180
100,25,180
100,30,180
120,10,180
120,15,180
120,20,180
120,25,180
120,30,180
40,10,210
40,15,210
40,20,210
40,25,210
40,30,210
60,10,210
60,15,210
60,20,210
60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
100,15,270
100,20,270
100,25,270
100,30,270
120,10,270
120,15,270
120,20,270
120,25,270
120,30,270
40,10,300
40,15,300
40,20,300
40,25,300
40,30,300
60,10,300
60,15,300
60,20,300
60,25,300
60,30,300
80,10,300
80,15,300
80,20,300
80,25,300
80,30,300
100,10,300
100,15,300
100,20,300
100,25,300
100,30,300
120,10,300
120,15,300
120,20,300
120,25,300
120,30,300
40,10,330
40,15,330
40,20,330
40,25,330
40,30,330
60,10,330
60,15,330
60,20,330
60,25,330
60,30,330
80,10,330
80,15,330
80,20,330
80,25,330
80,30,330
100,10,330
100,15,330
100,20,330
100,25,330
100,30,330
120,10,330
120,15,330
120,20,330
120,25,330
120,30,330
40,10,360
40,15,360
40,20,360
40,25,360
40,30,360
60,10,360
60,15,360
60,20,360
60,25,360
60,30,360
80,10,360
80,15,360
80,20,360
80,25,360
80,30,360
100,10,360
100,15,360
100,20,360
100,25,360
100,30,360
120,10,360
120,15,360
120,20,360
120,25,360
120,30,360
40,10,390
40,15,390
40,20,390
40,25,390
40,30,390
60,10,390
60,15,390
60,20,390
60,25,390
60,30,390
80,10,390
80,15,390
80,20,390
80,25,390
80,30,390
100,10,390
100,15,390
100,20,390
100,25,390
100,30,390
120,10,390
120,15,390
120,20,390
120,25,390
120,30,390
40,10,420
40,15,420
40,20,420
40,25,420
40,30,420
60,10,420
60,15,420
60,20,420
60,25,420
60,30,420
80,10,420
80,15,420
80,20,420
80,25,420
80,30,420
100,10,420
100,15,420
100,20,420
100,25,420
100,30,420
120,10,420
120,15,420
120,20,420
120,25,420
120,30,420
40,10,450
40,15,450
40,20,450
40,25,450
40,30,450
60,10,450
60,15,450
60,20,450
60,25,450
60,30,450
80,10,450
80,15,450
80,20,450
80,25,450
80,30,450
100,10,450
100,15,450
100,20,450
100,25,450
100,30,450
120,10,450
120,15,450
120,20,450
120,25,450
120,30,450
40,10,480
40,15,480
40,20,480
40,25,480
40,30,480
60,10,480
60,15,480
60,20,480
60,25,480
60,30,480
80,10,480
80,15,480
80,20,480
80,25,480
80,30,480
100,10,480
100,15,480
100,20,480
100,25,480
100,30,480
120,10,480
120,15,480
120,20,480
120,25,480
120,30,480
40,10,500
40,15,500
40,20,500
40,25,500
40,30,500
60,10,500
60,15,500
60,20,500
60,25,500
60,30,500
80,10,500
80,15,500
80,20,500
80,25,500
80,30,500
100,10,500
100,15,500
100,20,500
100,25,500
100,30,500
120,10,500
120,15,500
120,20,500
120,25,500
120,30,500
40,10,150
40,15,150
40,20,150
40,25,150
40,30,150
60,10,150
60,15,150
60,20,150
60,25,150
60,30,150
80,10,150
80,15,150
80,20,150
80,25,150
80,30,150
100,10,150
100,15,150
100,20,150
100,25,150
100,30,150
120,10,150
120,15,150
120,20,150
120,25,150
120,30,150
40,10,180
40,15,180
40,20,180
40,25,180
40,30,180
60,10,180
60,15,180
60,20,180
60,25,180
60,30,180
80,10,180
80,15,180
80,20,180
80,25,180
80,30,180
100,10,180
100,15,180
100,20,180
100,25,180
100,30,180
120,10,180
120,15,180
120,20,180
120,25,180
120,30,180
40,10,210
40,15,210
40,20,210
40,25,210
40,30,210
60,10,210
60,15,210
60,20,210
60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
100,15,270
100,20,270
100,25,270
100,30,270
120,10,270
120,15,270
120,20,270
120,25,270
120,30,270
40,10,300
40,15,300
40,20,300
40,25,300
40,30,300
60,10,300
60,15,300
60,20,300
60,25,300
60,30,300
80,10,300
80,15,300
80,20,300
80,25,300
80,30,300
100,10,300
100,15,300
100,20,300
100,25,300
100,30,300
120,10,300
120,15,300
120,20,300
120,25,300
120,30,300
40,10,330
40,15,330
40,20,330
40,25,330
40,30,330
60,10,330
60,15,330
60,20,330
60,25,330
60,30,330
80,10,330
80,15,330
80,20,330
80,25,330
80,30,330
100,10,330
100,15,330
100,20,330
100,25,330
100,30,330
120,10,330
120,15,330
120,20,330
120,25,330
120,30,330
40,10,360
40,15,360
40,20,360
40,25,360
40,30,360
60,10,360
60,15,360
60,20,360
60,25,360
60,30,360
80,10,360
80,15,360
80,20,360
80,25,360
80,30,360
100,10,360
100,15,360
100,20,360
100,25,360
100,30,360
120,10,360
120,15,360
120,20,360
120,25,360
120,30,360
40,10,390
40,15,390
40,20,390
40,25,390
40,30,390
60,10,390
60,15,390
60,20,390
60,25,390
60,30,390
80,10,390
80,15,390
80,20,390
80,25,390
80,30,390
100,10,390
100,15,390
100,20,390
100,25,390
100,30,390
120,10,390
120,15,390
120,20,390
120,25,390
120,30,390
40,10,420
40,15,420
40,20,420
40,25,420
40,30,420
60,10,420
60,15,420
60,20,420
60,25,420
60,30,420
80,10,420
80,15,420
80,20,420
80,25,420
80,30,420
100,10,420
100,15,420
100,20,420
100,25,420
100,30,420
120,10,420
120,15,420
120,20,420
120,25,420
120,30,420
40,10,450
40,15,450
40,20,450
40,25,450
40,30,450
60,10,450
60,15,450
60,20,450
60,25,450
60,30,450
80,10,450
80,15,450
80,20,450
80,25,450
80,30,450
100,10,450
100,15,450
100,20,450
100,25,450
100,30,450
120,10,450
120,15,450
120,20,450
120,25,450
120,30,450
40,10,480
40,15,480
40,20,480
40,25,480
40,30,480
60,10,480
60,15,480
60,20,480
60,25,480
60,30,480
80,10,480
80,15,480
80,20,480
80,25,480
80,30,480
100,10,480
100,15,480
100,20,480
100,25,480
100,30,480
120,10,480
120,15,480
120,20,480
120,25,480
120,30,480
40,10,500
40,15,500
40,20,500
40,25,500
40,30,500
60,10,500
60,15,500
60,20,500
60,25,500
60,30,500
80,10,500
80,15,500
80,20,500
80,25,500
80,30,500
100,10,500
100,15,500
100,20,500
100,25,500
100,30,500
120,10,500
120,15,500
120,20,500
120,25,500
120,30,500
40,10,150
40,15,150
40,20,150
40,25,150
40,30,150
60,10,150
60,15,150
60,20,150
60,25,150
60,30,150
80,10,150
80,15,150
80,20,150
80,25,150
80,30,150
100,10,150
100,15,150
100,20,150
100,25,150
100,30,150
120,10,150
120,15,150
120,20,150
120,25,150
120,30,150
40,10,180
40,15,180
40,20,180
40,25,180
40,30,180
60,10,180
60,15,180
60,20,180
60,25,180
60,30,180
80,10,180
80,15,180
80,20,180
80,25,180
80,30,180
100,10,180
100,15,180
100,20,180
100,25,180
100,30,180
120,10,180
120,15,180
120,20,180
120,25,180
120,30,180
40,10,210
40,15,210
40,20,210
40,25,210
40,30,210
60,10,210
60,15,210
60,20,210
60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
100,15,270
100,20,270
100,25,270
100,30,270
120,10,270
120,15,270
120,20,270
120,25,270
120,30,270
40,10,300
40,15,300
40,20,300
40,25,300
40,30,300
60,10,300
60,15,300
60,20,300
60,25,300
60,30,300
80,10,300
80,15,300
80,20,300
80,25,300
80,30,300
100,10,300
100,15,300
100,20,300
100,25,300
100,30,300
120,10,300
120,15,300
120,20,300
120,25,300
120,30,300
40,10,330
40,15,330
40,20,330
40,25,330
40,30,330
60,10,330
60,15,330
60,20,330
60,25,330
60,30,330
80,10,330
80,15,330
80,20,330
80,25,330
80,30,330
100,10,330
100,15,330
100,20,330
100,25,330
100,30,330
120,10,330
120,15,330
120,20,330
120,25,330
120,30,330
40,10,360
40,15,360
40,20,360
40,25,360
40,30,360
60,10,360
60,15,360
60,20,360
60,25,360
60,30,360
80,10,360
80,15,360
80,20,360
80,25,360
80,30,360
100,10,360
100,15,360
100,20,360
100,25,360
100,30,360
120,10,360
120,15,360
120,20,360
120,25,360
120,30,360
40,10,390
40,15,390
40,20,390
40,25,390
40,30,390
60,10,390
60,15,390
60,20,390
60,25,390
60,30,390
80,10,390
80,15,390
80,20,390
80,25,390
80,30,390
100,10,390
100,15,390
100,20,390
100,25,390
100,30,390
120,10,390
120,15,390
120,20,390
120,25,390
120,30,390
40,10,420
40,15,420
40,20,420
40,25,420
40,30,420
60,10,420
60,15,420
60,20,420
60,25,420
60,30,420
80,10,420
80,15,420
80,20,420
80,25,420
80,30,420
100,10,420
100,15,420
100,20,420
100,25,420
100,30,420
120,10,420
120,15,420
120,20,420
120,25,420
120,30,420
40,10,450
40,15,450
40,20,450
40,25,450
40,30,450
60,10,450
60,15,450
60,20,450
60,25,450
60,30,450
80,10,450
80,15,450
80,20,450
80,25,450
80,30,450
100,10,450
100,15,450
100,20,450
100,25,450
100,30,450
120,10,450
120,15,450
120,20,450
120,25,450
120,30,450
40,10,480
40,15,480
40,20,480
40,25,480
40,30,480
60,10,480
60,15,480
60,20,480
60,25,480
60,30,480
80,10,480
80,15,480
80,20,480
80,25,480
80,30,480
100,10,480
100,15,480
100,20,480
100,25,480
100,30,480
120,10,480
120,15,480
120,20,480
120,25,480
120,30,480
40,10,500
40,15,500
40,20,500
40,25,500
40,30,500
60,10,500
60,15,500
60,20,500
60,25,500
60,30,500
80,10,500
80,15,500
80,20,500
80,25,500
80,30,500
100,10,500
100,15,500
100,20,500
100,25,500
100,30,500
120,10,500
120,15,500
120,20,500
120,25,500
120,30,500
40,10,150
40,15,150
40,20,150
40,25,150
40,30,150
60,10,150
60,15,150
60,20,150
60,25,150
60,30,150
80,10,150
80,15,150
80,20,150
80,25,150
80,30,150
100,10,150
100,15,150
100,20,150
100,25,150
100,30,150
120,10,150
120,15,150
120,20,150
120,25,150
120,30,150
40,10,180
40,15,180
40,20,180
40,25,180
40,30,180
60,10,180
60,15,180
60,20,180
60,25,180
60,30,180
80,10,180
80,15,180
80,20,180
80,25,180
80,30,180
100,10,180
100,15,180
100,20,180
100,25,180
100,30,180
120,10,180
120,15,180
120,20,180
120,25,180
120,30,180
40,10,210
40,15,210
40,20,210
40,25,210
40,30,210
60,10,210
60,15,210
60,20,210
60,25,210
60,30,210
80,10,210
80,15,210
80,20,210
80,25,210
80,30,210
100,10,210
100,15,210
100,20,210
100,25,210
100,30,210
120,10,210
120,15,210
120,20,210
120,25,210
120,30,210
40,10,240
40,15,240
40,20,240
40,25,240
40,30,240
60,10,240
60,15,240
60,20,240
60,25,240
60,30,240
80,10,240
80,15,240
80,20,240
80,25,240
80,30,240
100,10,240
100,15,240
100,20,240
100,25,240
100,30,240
120,10,240
120,15,240
120,20,240
120,25,240
120,30,240
40,10,270
40,15,270
40,20,270
40,25,270
40,30,270
60,10,270
60,15,270
60,20,270
60,25,270
60,30,270
80,10,270
80,15,270
80,20,270
80,25,270
80,30,270
100,10,270
